,cdCountry,shop_details,cart_loaded,checkout_loaded,transaction
0,Argentina,29029311,29029311,29029311,29029311
1,Chile,8982368,8982368,8982368,8982368
2,Uruguay,3643517,3643517,3643517,3643517
3,Colombia,3265206,3265206,3265206,3265206
4,Panamá,2149997,2149997,2149997,2149997
5,Bolivia,1074261,1074261,1074261,1074261
6,(not set),347354,347354,347354,347354
7,Paraguay,135264,135264,135264,135264
8,NA,13222,13222,13222,13222
9,no_country_selected_yet,2504,2504,2504,2504
10,,2418,2418,2418,2418
11,Brasil,1,1,1,1
